repo,stars,size_kb,age_days,open_issues,language,ci_pass_pct,ci_total,pr_merge_hours,pr_merged_count,releases_per_week,release_count_90d,has_actions,type
DataTalksClub/mlops-zoomcamp,14324,11769,1609,10,Jupyter Notebook,40,5,201.3,13,0,0,1,code
yiisoft/yii2,14320,88582,5147,526,PHP,95,20,95.6,16,0.08,1,1,code
ktorio/ktor,14318,119063,3880,219,Kotlin,100,11,16,18,0.16,2,1,code
scalar/scalar,14316,281301,945,140,TypeScript,100,20,6.1,17,1.56,20,1,code
bulletphysics/bullet3,14316,297038,5454,408,C++,100,7,1103.4,3,0,0,1,code
davidsandberg/facenet,14312,2991,3686,554,Python,,0,0.1,1,0,0,0,code
sogou/workflow,14312,5072,2058,24,C++,100,20,3.2,18,0.08,1,1,code
LemmyNet/lemmy,14310,38613,2589,131,Rust,,0,37.8,19,0.23,3,0,code
callstack/react-native-paper,14309,441316,3437,362,TypeScript,90,10,127.8,9,0.08,1,1,code
virgili0/Virgilio,14307,33923,2563,27,Jupyter Notebook,0,2,43.8,16,0,0,1,code
pandao/editor.md,14306,16106,4063,581,JavaScript,,0,23125.6,1,0,0,0,code
topoteretes/cognee,14298,133811,945,95,Python,100,16,13.8,10,1.01,13,1,code
jindongwang/transferlearning,14297,37145,3244,24,Python,75,4,10.8,14,0,0,1,code
VERT-sh/VERT,14295,22483,492,48,Svelte,79,19,100.6,12,0,0,1,code
atelier-anchor/smiley-sans,14287,13257,1223,41,HTML,,0,6.1,7,0,0,0,code
jujumilk3/leaked-system-prompts,14284,12882,1037,36,unknown,100,1,20.9,17,0,0,1,code
oxnr/awesome-bigdata,14282,866,4275,42,unknown,,0,1615.7,8,0,0,0,non-code
owasp-amass/amass,14270,393598,2808,216,Go,90,20,20.3,6,0,0,1,code
chiphuyen/aie-book,14261,5124,470,16,Jupyter Notebook,,0,16.5,4,0,0,0,non-code
mxcl/PromiseKit,14261,10676,4366,14,Swift,55,11,362.4,14,0,0,1,code
Unstructured-IO/unstructured,14258,235564,1268,239,HTML,78,9,26.8,7,1.17,15,1,code
davidshimjs/qrcodejs,14248,130,4830,236,JavaScript,,0,1530.5,2,0,0,0,code
dmlc/dgl,14244,30768,2889,604,Python,100,20,133.5,14,0,0,1,code
gollum/gollum,14242,137814,5833,89,Ruby,70,20,104.3,7,0,0,1,code
ggml-org/ggml,14239,28498,1277,306,C++,63,19,0.7,5,0.31,4,1,code
LGUG2Z/komorebi,14239,15826,1692,105,Rust,90,20,104.3,11,0.16,2,1,code
konvajs/konva,14232,22749,4086,26,TypeScript,100,8,8.9,16,0.39,5,1,code
AI4Finance-Foundation/FinRL,14220,83884,2061,296,Jupyter Notebook,0,20,32.7,13,0,0,1,code
SWivid/F5-TTS,14219,2363,526,46,Python,100,20,7.5,13,0.23,3,1,code
deeplearning4j/deeplearning4j,14212,778803,4494,615,Java,91,11,0.6,10,0,0,1,code
ivy-llc/ivy,14207,161422,1884,984,Python,90,20,43.4,15,0,0,1,code
VoltAgent/awesome-claude-code-subagents,14202,1005,231,13,Shell,33,6,22.8,3,0,0,1,non-code
Flow-Launcher/Flow.Launcher,14201,97094,2157,288,C#,100,20,6.9,13,0.16,2,1,code
unbug/codelf,14196,23351,3748,43,JavaScript,92,12,3.7,5,0,0,1,code
HubSpot/youmightnotneedjquery,14196,545,4444,14,Astro,,0,0,20,0,0,0,code
AstroNvim/AstroNvim,14195,3616,1504,1,Lua,100,20,0.1,15,0.16,2,1,code
mfornos/awesome-microservices,14195,1226,3972,7,unknown,22,9,474.3,8,0,0,1,non-code
FormidableLabs/webpack-dashboard,14194,2109,3503,39,JavaScript,,0,5,18,0,0,0,code
apache/dolphinscheduler,14187,222429,2574,190,Java,100,2,0,19,0.16,2,1,code
kettanaito/naming-cheatsheet,14186,56,3183,21,unknown,,0,,0,0,0,0,non-code
abpframework/abp,14183,2246286,3391,373,C#,95,20,1.1,20,0.7,9,1,code
spotify/annoy,14180,2034,4733,75,C++,100,3,9.1,17,0,0,1,code
languagetool-org/languagetool,14178,6113860,4605,2097,Java,100,20,1,20,0,0,1,code
coderamp-labs/gitingest,14174,1486,474,20,Python,100,20,,0,0,0,1,code
DuGuQiuBai/Java,14170,24346,3766,78,Java,,0,,0,0,0,0,code
http-party/http-server,14168,2133,5388,97,JavaScript,90,20,462.3,10,0,0,1,code
primefaces/primevue,14158,164578,2661,963,Vue,33,9,149.3,14,0.08,1,1,code
git-lfs/git-lfs,14146,20628,4559,466,Go,60,15,45.4,17,0,0,1,code
http-party/node-http-proxy,14145,1602,5716,621,JavaScript,,0,2384,1,0,0,0,code
lyogavin/airllm,14145,3350,1010,139,Jupyter Notebook,,0,62.4,11,0,0,0,code
confident-ai/deepeval,14144,113189,951,239,Python,50,20,24.3,13,0,0,1,code
memcached/memcached,14143,6280,6171,87,C,100,18,91.1,3,0,0,1,code
sindresorhus/pure,14141,749,4927,31,Shell,,0,43.4,9,0.16,2,0,code
trimstray/nginx-admins-handbook,14140,82179,2606,5,Shell,,0,29,14,0,0,0,non-code
App-vNext/Polly,14138,57299,4700,5,C#,100,18,0.5,19,0.08,1,1,code
blitz-js/blitz,14133,124159,2220,87,TypeScript,60,5,100.7,14,0,0,1,code
SFTtech/openage,14131,18792,4517,213,Python,0,20,96.2,18,0,0,1,code
dexie/Dexie.js,14121,65693,4403,587,TypeScript,100,20,25.8,13,0.08,1,1,code
sbilly/awesome-security,14120,781,4226,130,unknown,33,3,,0,0,0,1,non-code
WongKinYiu/yolov7,14116,76024,1351,1572,Jupyter Notebook,,0,,0,0,0,0,code
PaddlePaddle/PaddleDetection,14115,432841,2336,939,Python,0,1,56.6,4,0,0,1,code
pranshuparmar/witr,14110,7202,88,2,Go,100,20,19.7,18,1.48,19,1,code
cobiwave/simplefolio,14109,16983,2455,67,SCSS,,0,,0,0,0,0,code
arangodb/arangodb,14109,2915540,5257,797,C++,100,20,18.1,17,0,0,1,code
midday-ai/midday,14105,321533,912,4,TypeScript,100,18,0.5,15,0.16,2,1,code
